"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"A",1.38886794202625,0.767284310749736,0.612342772453186,0.788864697847492,0.426798127626907,0.385604404187199,0.987045777405866,0.294521374035219,0.336478079106267,0.606769548999754,0.406072776535953,0.301688000984621,0.422451159972549,0.272078805745842,0.373628692813175,0.418529949035695,0.239917916613769,0.260393889466558,0.197755679315652,0.271380543980185,0.24312010834048,0.295441570580828,0.165572923409163,0.171614017493715,0.175820729993243,0.223335645434802,0.210377708649063,0.173323512166266,0.111188858875952,0.12886869770439,0.227767432949936,0.164049426527289,0.0747092255100854,0.126548347712058,0.122628427484672,0.154667441318922,0.141779029163564,0.0764351308805352,0.101104944845336,0.150038527114752,0.0951519434272823,0.104659917109166,0.129379071453368,0.151150517367917,0.126659267060129,0.1152953497275,0.087615462534276,0.112439738930469,0.126950396691177,0.168791833064906,0.127254291338661,0.160522012134324,0.13331659440788,0.209277262795118,0.162702759588946,0.138038595008878,0.117668985045865,0.0986607357687568,0.343104646522626,0.11580110103654,0.130444395007564,0.0710838725124326,0.148496952406137,0.131284887368096,0.113450569895943,0.139563355063957,0.201310376134619,0.183798755228479,0.162215636205611,0.158589820150571,0.212964526232082,0.246115829414234,0.187040777898108,0.125416120120581,0.186487149107909,0.256403706749799,0.216246525814119,0.193875320582048
"AA",1.04156507736246,0.579472194190651,0.474905649699326,0.409249845413255,0.533860154020322,0.248252162248251,0.573658761751127,0.343427226184979,0.280715799089888,0.406297294929991,0.352672515708845,0.249104316947154,0.276230853372851,0.235654634973503,0.304780162898624,0.261689398131425,0.278202183000976,0.224878326448372,0.245454416101088,0.180971094849817,0.132753435575381,0.119788148386775,0.132190186870306,0.0881047853504133,0.134790173842837,0.193835927683685,0.204470631843082,0.12831219414639,0.128495490945488,0.0902562789464825,0.215120727779049,0.10763635260532,0.102783776788519,0.0788795645929128,0.062545793202845,0.165514981816795,0.185395375586251,0.0836984572643767,0.0942751658230815,0.120297494007691,0.109150574177373,0.0896209980073942,0.114509560245356,0.13850591616334,0.115378625698182,0.0633145665135583,0.0734198479403875,0.0978617308460722,0.103823786488518,0.113953662395016,0.110280169839413,0.161839938789601,0.0881445288590534,0.0983150757899944,0.136855765190752,0.126962010664817,0.151323431768751,0.131495896399104,0.243483926196604,0.0831155193847175,0.250711571280475,0.122732292862873,0.130220015214374,0.167770051273959,0.152288346826339,0.165487491086146,0.227332654461079,0.17483461537806,0.117619950590256,0.143263341629134,0.253918444759199,0.235187562366096,0.184198753794946,0.168610247802432,0.187187389645328,0.251309168706138,0.220960495103181,0.247541588934811
"AAP",0.503563466950885,0.31679020831178,0.162477901559017,0.354616259042257,0.198214200249639,0.123045221961954,0.185981211135553,0.141394040891504,0.118854545636436,0.237342425486928,0.0995271357732137,0.134982598508743,0.111434586639815,0.0841836572006595,0.0787304631703564,0.0956253610951382,0.0947799627942418,0.0423116114781259,0.068718136544646,0.0666694858028783,0.0564679102943483,0.07702963725986,0.051720514649342,0.0281859923524138,0.0482745925491621,0.0489836889161267,0.0491011918431182,0.0569599421295153,0.0676600756688207,0.0309423863879596,0.0499467656209611,0.0410645631368109,0.0496817665380521,0.0453911114296065,0.0388703821391762,0.0571959038423514,0.0578825985249985,0.027409076267238,0.0364349181054786,0.0500051507988417,0.0360925764888817,0.0486254570014623,0.0393156119532482,0.0253465593383424,0.036237146389821,0.0371757833928574,0.025872944983984,0.0303272245657797,0.0691744139842797,0.0341954493823938,0.035609266596231,0.0375572808194349,0.0543525264488794,0.0315246547227217,0.0303253715150182,0.051260246056873,0.0499915171277871,0.047901698688271,0.0461473553233622,0.0532808573192596,0.068104036883637,0.0313873089769511,0.0530347806869686,0.0473500113904439,0.0448789061613125,0.0462510550444158,0.0585094127451058,0.0561324127491652,0.0496626966203609,0.0413873768509588,0.0763433043940765,0.082411103567057,0.077781081906216,0.0429964836891401,0.074834654185814,0.117243072852746,0.0922004738393736,0.097497190962152
"AAPL",0.490581438633956,0.191538765607239,0.135998797250057,0.237958564588863,0.158000076310183,0.12224255006388,0.112116267191411,0.129864615366002,0.0848098857440166,0.117378505233584,0.11498257085343,0.086736498887868,0.072215302363333,0.0572390284644292,0.0576305997232654,0.0685872306316311,0.0559085264572964,0.0805449334493453,0.0535865016458019,0.0698920402557985,0.0572212029480106,0.0412402114955372,0.0406786128492139,0.0564079186808246,0.0482192906807207,0.0486417838662243,0.0657827388817995,0.0707708872471727,0.0541256332068756,0.033802022946805,0.0494252774504969,0.061167819726429,0.0223419024294741,0.0489120408780037,0.0322175518126674,0.0391540618583688,0.0476528569325791,0.023777412540126,0.0532433919421472,0.0587424018329351,0.0406801117050894,0.030222464720045,0.038174830640808,0.0254299881219273,0.0263474680802121,0.042893855458163,0.0316328944611855,0.0243202309511752,0.0398623703095273,0.0352397000816531,0.0442171310062239,0.0391320425183851,0.0619847978634378,0.0501639519459005,0.0737002456671517,0.0731325678141585,0.0355209955642158,0.0454874181146285,0.0771169474897373,0.0690379203351791,0.0873980657802528,0.0463955938329288,0.0499589287336736,0.0517363973305871,0.0506102578362938,0.0514628517238496,0.0610386493426467,0.12300971921077,0.0772333539164869,0.0377904274206853,0.0593716414255062,0.125718222404522,0.0687886294602954,0.0503413813411129,0.0842452564518969,0.0847078081354376,0.0962547605532585,0.0669638658743149
"AAWW",1.98929573169634,1.08535815299614,0.945592691393092,0.36854438621399,0.616841868946609,0.441736500110861,0.566843452753335,0.557725037044382,0.444993298049071,0.609110624032841,0.212516202773861,0.405791622714537,0.408235170920793,0.391960690821525,0.355877461424678,0.267734286859675,0.21636320376799,0.236221367626655,0.228370302973799,0.299399675697226,0.231096069357104,0.244836537282161,0.194311184952769,0.194412841764574,0.166641600708844,0.18407925109724,0.20822950303553,0.148455369516271,0.249248687496713,0.145145893480674,0.100463740456681,0.163057270927488,0.17427635814739,0.152179706154838,0.132478974933266,0.151445256749177,0.159906303205178,0.172852782907754,0.146016373846131,0.148272593253401,0.266953241125454,0.138642394099627,0.162183669756428,0.172763524598731,0.199107136148991,0.156961667409189,0.117215193823322,0.0727925912884739,0.101567002497096,0.177724567235219,0.0924993578147975,0.254238537711833,0.219712476528584,0.159348905637248,0.211582470227638,0.156364222215043,0.142905896044754,0.18180515119937,0.254657341572823,0.161354018353356,0.286219963442767,0.162117823543329,0.210328852578475,0.129605781603143,0.0814311590988777,0.175401661056285,0.355141610676339,0.350312890135783,0.253967952656739,0.229417306421527,0.270213879696279,0.350298359348286,0.217156179346334,0.336773036547686,0.374880922743468,0.284611489902305,0.23966747541336,0.276874081006094
"ABB",0.159481310103591,0.169768773073902,0.227742988586979,0.214283305138541,0.250380328539818,0.144352835601151,0.299791615272307,0.183891415239528,0.180174784589378,0.299842825159829,0.10886588259182,0.132410473627914,0.171957782500579,0.136978375170161,0.121275368071259,0.150004646257916,0.125890237393836,0.100768113395018,0.0744896021549221,0.112596105689988,0.0962422250650616,0.0853494417306606,0.0729399888808372,0.0953505818515757,0.097646514759521,0.0744516483365287,0.123242184238995,0.0886980710886824,0.0752389078537812,0.0660929417333994,0.0808086866701001,0.114448347852736,0.0634318879523365,0.0484578401051696,0.0439490731853956,0.103691941672413,0.0756815797653514,0.0293776728518045,0.0749086797248361,0.0728792686033327,0.054430032764275,0.0982570245391931,0.0407324064900995,0.0620692891793435,0.0504343963783023,0.030415714954499,0.0465357644176529,0.044982697269757,0.0602357179615527,0.0503142199580113,0.0763338145093655,0.0712346474497065,0.0595790562809461,0.0677016714163688,0.107894459179946,0.105851480942159,0.0946440575334774,0.071976127940761,0.10779949793842,0.0523498462431431,0.149301296650396,0.0755033529056242,0.0773028741727344,0.0629830177965475,0.0589594699372398,0.0788403225002008,0.0847047134884804,0.077162867251705,0.0854971457758584,0.051629716986891,0.117217225981612,0.10807564113077,0.108176039273909,0.0784552980982327,0.189854645002424,0.123981346954135,0.115912307856808,0.123946248161874
"ABC",0.534842900535081,0.422046318447565,0.363038364824982,0.239759898880666,0.22335345956316,0.190481172067508,0.371484398377977,0.216328419362549,0.158159449380376,0.193660697681418,0.184637670333173,0.146120706432996,0.127400430477356,0.110365382089767,0.0935022619648337,0.168181490826837,0.123427673791145,0.111696212351785,0.0807064443754518,0.147165589093888,0.0701065689211475,0.0867274614550647,0.080986200024406,0.0358411039489175,0.0832919454833891,0.0625693220006869,0.0906988450688276,0.0611914095642525,0.0553127298227923,0.0456443537986461,0.082073750116405,0.0809181275461599,0.0456803370122999,0.0505422907933623,0.0243584995150323,0.0510692485413964,0.0635931803523957,0.0277595071409898,0.0444369847947978,0.045281937286391,0.0317527204512663,0.0377215023336767,0.0385537087659678,0.0366855782503375,0.0484759490531274,0.0303896885368801,0.0234926033299966,0.0401296807640978,0.0498835363435784,0.0431805149877926,0.04531693828612,0.0442086843123114,0.051586516277159,0.0389751585138922,0.0495728162156167,0.0632130853027732,0.0662103198903989,0.0584612180561378,0.0592792230985816,0.0271924711583159,0.074009879470308,0.0375571739931729,0.0504056461748184,0.0507506197192202,0.0534629677408697,0.0457966683818667,0.0709313358387761,0.0630815060189636,0.0492659063504814,0.0578273201231351,0.0914569798004154,0.0996384279657081,0.0909736778720307,0.0705270181247365,0.0807648191894236,0.132241202971843,0.121101911524606,0.123532005272193
"ABFS",1.62707521697572,1.02159537177296,0.682233947566778,0.540165891407494,0.616232518270289,0.433490840861907,0.685258924486722,0.422128531635742,0.493272965009663,0.558509208412624,0.328660316428521,0.493523802595221,0.450388631689017,0.370996618893273,0.219898519732819,0.355500418165372,0.283076551507125,0.25517320808617,0.280313887112609,0.222725572556626,0.241922739871277,0.267890693618621,0.312975042899728,0.194900778871702,0.159372860983217,0.404836299267858,0.26450330877515,0.260712152520642,0.220147842531926,0.228278538358711,0.213317789217124,0.185005993358887,0.219202516351497,0.163212812423474,0.122728470328126,0.236234548241724,0.222770836949685,0.0933721151225071,0.134303459418349,0.235046626292243,0.127515856875958,0.162802363306092,0.139876795803639,0.309014521016249,0.170815467189939,0.124363609484553,0.151743857125225,0.0893273254749337,0.134375335269439,0.120370138786099,0.149301318938282,0.204514813648121,0.156842651553689,0.142349211947818,0.126461059554983,0.105583851354674,0.180588196466654,0.138520225687756,0.139280838902303,0.149538055095379,0.250094188393483,0.157495750397413,0.213653948714221,0.221258533993691,0.182066762445752,0.151694402318017,0.209304219772065,0.278617323992654,0.180347099613994,0.263831026060829,0.350764232387866,0.323848952340592,0.273607726966179,0.344672680599433,0.333144456062474,0.41396100389116,0.263637462960619,0.404691386647587
"ABG",1.98507940294855,2.42686427507255,1.60368868845293,1.76039771502344,1.72962860527018,1.34332480472439,1.36805044438287,0.965506247174719,0.69197132499963,1.21227903512883,0.560279884535736,0.511488385657637,0.569095940179843,0.405268097176955,0.558188984273918,0.619368855662821,0.528358384991827,0.497660994097498,0.409037832418477,0.324609837232768,0.450532741278288,0.410469883362001,0.355275073784018,0.367047262757318,0.292659222007881,0.333665707944902,0.305138914132278,0.258114082547317,0.225483536145613,0.175733633081778,0.232246130938729,0.381143031567643,0.249356274605443,0.229214362633684,0.143960833847558,0.333625396943419,0.234431701422887,0.152259263455458,0.256450600676537,0.379199334150672,0.166888794634229,0.16283783518913,0.236215436520737,0.262023460134399,0.277921035547217,0.216495980027779,0.156898479444601,0.15300371027289,0.247860096510473,0.247987737802116,0.2269164761692,0.237911520623668,0.331562099614291,0.29398730919498,0.168247937968064,0.290744783157324,0.250849096994285,0.28207754937553,0.262500498511098,0.459408047215922,0.522577213228728,0.252758579420634,0.298509703870203,0.270133016429072,0.261587956992653,0.25579073893648,0.231686901110467,0.331423861442811,0.304710669144957,0.29344261912093,0.350700641339973,0.353852962743045,0.492390307555806,0.416111451513788,0.364566010518743,0.449354450764797,0.437938260953878,0.620144124867021
"ABT",0.562095885659867,0.258572844840654,0.174207451934679,0.120938168798002,0.136875697913157,0.104738414110798,0.180332451088974,0.0793919029260796,0.0660919716476718,0.159191385071764,0.0687919833249154,0.0591282428778215,0.077428139601518,0.0464036367930776,0.0446801791923687,0.0873954038831542,0.0544006419968205,0.0576531800278795,0.0461291821473381,0.0505923316427422,0.058060007486832,0.0427569367877598,0.0393018380353037,0.0432142741761791,0.0296213519657136,0.0415298192702048,0.0496931000378061,0.0252157664515443,0.0279298807399836,0.0288021542817151,0.0536410985742772,0.0285978732857378,0.01788825533901,0.0240247269826204,0.0275836491422222,0.0338774282828474,0.0355877730603555,0.0171145854809059,0.0183718172269434,0.0302391941375249,0.0243859787550304,0.022232260231305,0.033568997476777,0.0340681820765555,0.0274624893367685,0.0201557194925672,0.021037372631753,0.0265173838398943,0.0223117702129068,0.0216068827204846,0.0295010004286739,0.0356795609516449,0.0266628745438994,0.0269138400584089,0.0324345357979473,0.0331177702012694,0.0343412488734668,0.0418530883200965,0.0324279735667679,0.0260861369016722,0.0332533986818806,0.032553006608051,0.0310566251255318,0.0294771850072332,0.026290029138044,0.030225841332533,0.0513328757374925,0.04486169977932,0.0375239277203093,0.0446265416681675,0.0425282313185909,0.0611906287225383,0.07472454036565,0.0502214045704884,0.0838494347257796,0.0737913375162022,0.0731602176139699,0.0711121839613468
