"","X20100517","X20100518","X20100519","X20100520","X20100521","X20100524","X20100525","X20100526","X20100527","X20100528","X20100601","X20100602","X20100603","X20100604","X20100607","X20100608","X20100609","X20100610","X20110804","X20110805","X20110808","X20110809","X20110810","X20110811","X20110812","X20110815","X20110816","X20110817","X20110818","X20110819","X20110822","X20110823","X20110824","X20110825","X20110826","X20110829","X20110830","X20110831","X20110901","X20110902","X20110906","X20110907","X20110908","X20110909","X20110912","X20110913","X20110914","X20110915","X20110916","X20110919","X20110920","X20110921","X20110922","X20110923","X20110926","X20110927","X20110928","X20110929","X20110930","X20111003","X20111004","X20111005","X20111006","X20111007","X20111010","X20111011","X20111012","X20111013"
"A",5462,9544,6822,7260,7148,4984,6110,5425,4682,4328,4861,4042,5001,6203,6935,8320,6269,5249,8812,11326,10445,9600,11390,9465,10362,7387,10312,6805,8663,7678,8351,9637,7046,9471,8409,8024,6754,6462,7106,6325,8353,6714,6794,7023,6650,7106,8327,6646,6444,7239,6433,8539,8615,6715,6744,5700,6558,6811,6508,8347,7974,7646,6985,9299,5664,6025,6828,7645
"AA",11676,10186,11600,13560,11915,8460,12094,10744,9434,7789,9155,8786,8606,10876,9597,9360,8831,8585,13342,14645,15453,13478,13114,12177,10725,7864,7945,6947,10651,10039,8743,8377,7254,8336,7907,8266,8680,9981,8430,8108,8506,7279,6705,8835,8370,7970,8599,7248,6789,9478,8173,9679,13699,11185,9799,9895,9892,9625,10182,13080,12247,10889,12694,11437,14056,11561,16168,9668
"AAP",3790,4598,4624,7307,6339,5279,5741,4506,3082,3356,6345,3984,2926,4139,5856,5647,4391,4207,4206,5478,5791,5832,5238,8737,3909,3353,3344,3607,5098,4741,4269,3331,3329,3050,3341,2717,3270,2635,2886,2592,2701,2595,2830,2846,3361,2860,2960,2877,2935,3037,2846,2754,3858,2612,2473,2209,2154,3145,3046,2667,3814,2486,2320,2112,1741,1655,2341,2420
"AAPL",18163,17772,19295,20940,19962,17056,19225,17894,16316,17565,18382,17005,17162,17729,18911,19441,18758,17548,19558,20572,20706,20063,19084,17902,15636,14910,15516,14914,18952,17683,16634,18021,16594,18155,17899,14745,14776,16486,13698,14489,15314,13080,14666,17072,15706,14705,16195,14270,16018,19336,18343,16436,19900,15594,17989,17197,13870,17731,15570,17438,20329,19046,18420,16130,14751,16493,16932,13666
"AAWW",1733,1009,1311,1663,2700,1305,1169,1511,1218,1147,1101,1323,1041,1425,1423,1328,833,830,2452,2222,1908,1670,1391,1199,633,595,816,1187,1707,1225,1069,1209,933,952,664,757,1025,1158,1524,1230,1432,1040,1259,1077,903,753,864,1114,682,618,1716,3917,2859,1329,1191,1547,803,1026,1421,1168,2023,1386,839,1223,933,821,1162,1040
"ABB",5161,4239,6031,7954,6661,4760,5196,4012,3601,4064,3757,4180,3155,3800,3039,4861,3433,3529,7841,9557,7895,8448,8143,6080,4764,2868,3901,3327,4978,4342,4165,3562,3849,4364,4769,3021,3390,5277,4551,3962,4096,3495,4299,5000,4454,4001,3734,4068,3119,2996,2782,3434,4815,4932,4052,3597,4555,4499,3783,3924,5684,4351,4032,4673,3176,2919,3710,3311
"ABC",6028,7015,7391,7471,7781,6071,8178,6319,5870,5341,5669,6183,6584,7485,7182,8151,6577,5393,6368,7234,7069,8222,7048,5799,5195,5037,5376,3765,6465,5207,4628,5651,4795,4473,4524,3449,5031,3525,3882,3710,5009,3084,3742,5070,4652,4264,3911,5907,5104,4209,3930,3459,6303,3916,4759,4559,4498,5616,5241,6859,8199,6483,7078,5729,4113,3239,4539,4035
"ABFS",1241,1345,1898,2178,2210,1361,6221,3072,1698,1276,2791,1436,1348,1846,1621,1501,1395,1345,1518,2078,2246,1810,1327,2148,1636,1711,1320,887,1467,846,735,712,556,1038,1384,713,791,772,1048,682,990,865,1026,1358,1440,1654,1692,1813,1380,1453,746,1523,1858,1158,1061,1177,1196,1004,1063,1419,2706,1852,1566,1418,1272,1577,2015,901
"ABG",1187,1163,970,1846,1548,771,1605,1740,1297,929,1304,869,1154,1820,1048,1322,1253,984,2005,2185,2017,1993,1916,1914,1918,1267,1500,1384,1941,2172,1610,2034,1569,1246,1640,1160,1146,1079,1340,1748,1513,2142,1402,1926,2102,1901,1359,1615,1804,1591,1285,1560,1814,1751,1322,1538,1172,1036,1001,1803,2096,1385,1071,1153,1087,1157,1123,1054
"ABT",8401,8828,9479,9929,11964,10421,11049,9641,8848,9059,8462,8305,7121,9138,8840,9883,8862,8208,11021,12813,12799,13360,12255,10896,8859,7191,7865,6083,9661,8710,7811,8446,7792,7942,10128,6413,7409,8683,7933,7054,8617,7336,7645,8960,7377,7677,7579,8283,6581,7036,8007,8486,11566,10115,9544,8433,7621,8851,8889,10800,10578,8538,7760,8558,7380,8023,7853,6351
