"","2010","2011"
"A",10976758311.7953,11782195195.5504
"AA",12113554923.9112,12086591469.2295
"AAP",3619847173.34208,4282316550.22646
"AAPL",236620012867.778,361585313422.775
"AAWW",1320455301.49956,1092373953.08308
"ABB",38692542277.5404,44062010185.5156
"ABC",7324737453.54977,8934980700.77562
"ABFS",612202359.641026,484865465.560506
"ABG",399332355.192615,564981517.954612
"ABT",74645370812.2196,80092266153.5965
"ABV",301782529680.177,100502373477.125
"ABX",42596959283.001,49840137760.9858
"ACAS",1538678155.74549,2441608037.95555
"ACC",2738319856.62997,3915364629.72898
"ACE",16968358900.2304,21041367657.1755
"ACGL",9980501679.86284,4470531366.65897
"ACH",10794236733.7384,8009346354.07477
"ACI",4514406781.35488,3849982736.75155
"ACM",2712058025.64926,2137341544.13865
"ACN",24376745729.358,34203737232.5731
"ACOR",1386448784.65068,943486325.046154
"ACTG",730496822.725109,1972997833.41222
"ACXM",1226557122.2555,786088991.026325
"ADBE",15861313594.2973,12237665284.17
"ADI",8642302651.55035,9832034809.56179
"ADM",16758598612.0071,17812830355.7035
"ADP",19892900158.8998,23469961230.1086
"ADS",3466386649.06441,4546691238.47554
"ADSK",6464638906.63393,6287282758.23845
"ADTN",1671937699.71762,1828675862.64066
"AEC",653491902.892906,812033577.278594
"AEE",5894399917.47134,7074302208.11758
"AEG",10871745249.2188,8160259142.90526
"AEIS",463248381.539959,356312936.873162
"AEL",565954678.123469,576815826.540486
"AEM",10131848169.3773,11011641502.4082
"AEO",2695041157.41001,2260355871.86249
"AEP",15412498495.4772,18114396921.58
"AER",1408788549.79658,1254641561.47167
"AES",7320914738.52857,7714837874.36136
"AET",9821585711.27168,12676465611.9819
"AF",1422816833.94631,875545396.891335
"AFFX",451858780.399959,361831877.639145
"AFFY",835380922.942837,170519873.65
"AFG",2477157714.84651,2884475983.13665
"AFL",20266387121.5744,16968669512.6261
"AGN",17815750631.6612,23815640499.6142
"AGNC",8896901841.84174,9607379012.2872
"AGO",2960818183.74803,2247116028.41498
"AGU",8021948709.33839,11801158086.7555
"AHL",1782931442.67826,1683249806.89278
"AHT",516170923.507261,504847706.972258
"AIG",52429917055.304,34619280233.7606
"AIN",613932294.908875,619884889.904988
"AINV",2096652272.02605,1657179414.82
"AIR",762115976.705992,798563516.81848
"AIT",1144609999.522,1190641844.74752
"AIV",2964091150.85721,3563557707.90741
"AIZ",2731248522.98434,2702265140.42573
"AJG",3061563137.01431,3358539878.14182
"AKAM",7168494402.96793,3843219542.84042
"AKR",894759589.423983,1004393940.88649
"AKRX",272593763.100196,768779102.103932
"AKS",1559015653.89551,881935394.335767
"ALB",3695651180.56501,4258498284.03633
"ALE",1302206506.05286,1415838630.56719
"ALGN",1230606711.28888,1402797144.72357
"ALK",3289564679.99417,3978276798.39911
"ALKS",1489623930.82306,2048470348.8694
"ALL",14515398378.8175,11914954500.3601
"ALSK",378288480.68052,320492259.379829
"ALTR",7498872527.43611,11353259459.1867
"ALU",5676545615.62202,7271498430.04998
"ALV",4528001779.60132,4980776421.86311
"ALXN",9833607808.5698,11405524655.919
"AM",722473561.645087,612442481.286498
"AMAT",15251830256.4102,13272574389.7436
"AMCC",695755334.864197,359684271.82359
"AMD",5886529330.43186,4363714375.79187
"AME",9936590049.18244,8866870166.88396
"AMED",1490804744.54933,476238080.92
"AMG",3665182636.85065,4306150810.40885
"AMGN",41003091922.4313,41609576772.7426
"AMKR",988598033.301803,679864717.618633
"AMP",8150150744.01148,8730672426.98083
"AMSC",1636782894.53113,299450079.031453
"AMT",16207645386.1601,20780826552.2132
"AMTD",9801217235.48907,8083557996.31657
"AMX",181271067815.764,88516753239.6609
"AMZN",56153822354.0475,96389755240.1339
"AN",2419365689.56501,4432576012.57314
"ANF",2853564966.46873,5115085515.40841
"ANH",952230975.792379,982838338.995247
"ANN",1002662319.93408,1097685593.21488
"ANR",7848172905.87627,6003057713.66859
"ANSS",4020044053.74511,4653211514.75692
"ANV",1689922359.89339,3557616261.60595
"AOI",380323501.406666,252163931.009298
"AOS",2155817192.48242,1649110807.90066
"APA",35151038106.4184,37046782408.3549
"APC",24872743893.9905,34709228084.7096
"APD",14503387502.0363,16956439040.2865
"APH",6689805934.29913,6997331677.24578
"APKT",1801152108.4957,3118549633.90427
"APL",549465512.534164,1622779996.91542
"APOL",5970705377.94659,4994756311.1323
"ARAY",445951312.358342,328181205.406154
"ARE",4123198605.16776,4229773799.39182
"ARG",4858454684.57063,4969359086.44912
"ARIA",613105152.38977,1570897922.25333
"ARMH",5016377603.12559,12154584396.4722
"ARNA",653194353.271144,297974332.661282
"ARO",2207836285.75793,879875946.399042
"ARRS",1240444410.33049,1195952840.03667
"ARUN",1450958858.49704,2324509484.69231
"ARW",2799426369.59833,3197217719.21207
"ASBC",2294814575.14183,1766483810.59539
"ASCA",598789223.59278,588606328.19094
"ASH",4112683252.82091,3863313376.21069
"ASIA",1517866111.83838,704420807.612307
"ASML",10752366105.4927,13200608097.5622
"ASX",6215832695.82402,6755974973.56466
"ATHN",916958885.175472,2128950017.62
"ATI",5454681714.81861,4686186919.25198
"ATK",2273308397.75142,1889171644.8757
"ATML",2219318356.43358,4060148160.19973
"ATO",2459276499.40955,2918492095.49751
"ATR",2601563348.42834,3152563880.68973
"ATSG",337534438.287684,317204171.029231
"ATU",1464582050.44801,1427534156.4719
"ATVI",11751833796.2963,12920567847.1795
"ATW",1754008845.62928,2523738207.53481
"AU",1608311246559.64,1705320697385.46
"AUO",8331824316.20845,3819586079.43604
"AUXL",1467118336.67027,765762371.212821
"AUY",8016775158.33335,11349677225.9423
"AVA",1166298827.90294,1433193992.16013
"AVB",9429655366.80947,12280214398.533
"AVNR",340619902.273373,394007802.029231
"AVP",11538026068.547,9143871297.18298
"AVT",3780785899.52091,3656559121.28632
"AVX",2331543638.15166,2065073910.29666
"AVY",3355112078.35731,2673114951.55755
"AWH",1560046520.88804,1854035079.78265
"AWI",2083475478.92721,2168695221.79952
"AWK",3582907510.58652,5140932506.27428
"AXE",1532673397.70539,1699359479.20433
"AXL",647010397.08548,631958408.278489
"AXP",44184696995.2515,52290965373.871
"AXS",3669798651.18148,3349089658.30932
"AXTI",140317126.514372,215098683.333333
"AYI",1686990753.47931,1713256624.52157
"AYR",662262766.15155,748787472.298986
"AZK",801759023.170056,1009947950.36613
"AZN",52358198161.3804,55856235197.7283
"AZO",6828611679.44068,11212549664.2168
"B",1005610126.6977,1146211806.77349
"BA",48193505218.8465,46809035028.0955
"BAC",168697486741.912,75085428722.052
"BAK",4643107243.38639,7731790293.89439
"BAM",14728456433.289,17365447096.8843
"BAP",6897002163.00277,7525040049.75018
"BAS",319177069.709254,777022505.604643
"BAX",22961930962.2928,29808353694.4193
"BBBY",9944870641.65914,12680399934.5456
"BBD",62547244112.8536,63104571280.0672
"BBG",1543169983.00125,2030373520.08018
"BBL",141484482499.346,163167297838.389
"BBT",21366221051.8502,14943642314.2609
"BBY",13786798139.3854,8284298694.43865
"BC",1574505105.02559,1373447392.29776
"BCE",23080153527.7365,29683590010.267
"BCO",1063722724.87553,1163873572.35437
"BCR",6633564819.87228,7360090472.81725
"BCS",51174950889.2191,31376704057.592
"BDC",1129505579.90385,1265256117.22261
"BDN",1634043520.85741,1268151225.79028
"BDX",14068848395.422,15113661090.7593
"BEAV",2727994167.63616,3415246955.38581
"BEBE",568287636.533713,565421764.721367
"BECN",955944647.100971,810234972.345634
"BEE",922482893.065783,941371539.836301
"BEN",20629636832.4147,23193822016.6173
"BG",7163741026.65957,8880078577.60367
