"Wavelength","Transmittance"
450,46.115357
450,74.50375
450,80.313249
451,46.463531
451,72.642833
451,80.688191
452,56.019894
452,80.176641
452,87.270935
453,64.52131
453,81.872356
453,89.839721
454,69.426506
454,75.181991
454,87.917546
455,75.11127
455,67.694439
455,86.061888
456,78.671151
456,67.141404
456,85.421594
457,74.373796
457,71.196393
457,81.163018
458,63.328951
458,73.365259
458,71.077373
459,50.948613
459,71.922083
459,61.462586
460,49.708783
460,69.828283
460,63.219881
461,56.557381
461,67.233518
461,70.308528
462,64.573591
462,64.526462
462,75.388562
463,73.964749
463,65.905372
463,79.121598
464,82.69873
464,72.074399
464,82.465288
465,87.534446
465,77.670623
465,85.52944
466,88.818904
466,81.461546
466,89.037848
467,86.870467
467,84.910074
467,90.837477
468,81.938785
468,86.826134
468,87.630003
469,76.494002
469,85.213104
469,81.328434
470,72.199834
470,80.897309
470,75.844751
471,70.086058
471,76.540493
471,74.237131
472,70.408561
472,74.721734
472,76.518677
473,70.474379
473,74.324231
473,77.580409
474,68.924103
474,72.502632
474,74.415265
475,68.267445
475,70.690089
475,69.571734
476,70.36406
476,71.994547
476,67.433732
477,73.377036
477,75.076868
477,68.707141
478,75.997323
478,77.791682
478,72.113861
479,79.122645
479,79.870178
479,77.573514
480,83.002513
480,81.588389
480,84.106672
481,86.170079
481,82.724586
481,88.92338
482,87.518112
482,82.801397
482,89.99383
483,86.930285
483,81.757448
483,86.746026
484,84.707424
484,80.033611
484,80.946483
485,81.337148
485,78.339512
485,75.600614
486,77.52475
486,76.998663
486,72.261712
487,74.51078
487,76.171167
487,71.589514
488,73.230219
488,75.761785
488,73.121724
489,72.767773
489,74.980272
489,74.602468
490,71.858211
490,73.355275
490,74.288393
491,71.093266
491,71.761369
491,72.910222
492,71.890722
492,71.493799
492,72.385289
493,74.104972
493,72.581683
493,73.15075
494,76.844957
494,74.674715
494,74.397069
495,80.068234
495,77.63247
495,75.638448
496,83.346581
496,80.114246
496,76.749584
497,84.847874
497,80.312633
497,77.275241
498,83.20169
498,78.322485
498,76.831246
499,79.018752
499,75.905687
499,75.925729
500,75.030067
500,74.622999
500,75.688789
501,73.505941
501,74.064966
501,76.497976
502,74.590517
502,73.351809
502,77.866998
503,77.619925
503,73.425758
503,79.149148
504,80.740306
504,74.933199
504,79.546851
505,81.646965
505,75.940697
505,78.646439
506,79.761715
506,74.932428
506,76.666287
507,76.115802
507,72.729727
507,74.060133
508,72.965207
508,71.486124
508,71.701039
509,71.637246
509,71.801879
509,70.325919
510,72.030466
510,72.865477
510,70.439484
511,74.273609
511,74.611091
511,72.815965
512,77.675033
512,76.740323
512,76.61704
513,79.964981
513,77.611512
513,78.740542
514,80.071354
514,76.522325
514,77.401575
515,79.231941
515,74.741911
515,73.664916
516,79.220316
516,73.756861
516,70.136327
517,80.081036
517,73.178475
517,68.455321
518,80.702921
518,72.038492
518,68.830381
519,80.54054
519,71.191606
519,71.129881
520,79.39736
520,72.064488
520,73.728934
521,77.074259
521,73.915317
521,73.971659
522,73.883268
522,75.248455
522,71.55004
523,71.287264
523,76.151668
523,68.986876
524,71.035487
524,77.317286
524,68.915479
525,72.699205
525,78.238312
525,71.099753
526,74.442602
526,78.04425
526,73.991777
527,75.469511
527,76.828789
527,76.709728
528,76.231767
528,75.648357
528,78.354965
529,77.089957
529,75.010704
529,78.121494
530,78.008545
530,74.558822
530,76.362661
531,78.90873
531,74.388001
531,74.496875
532,79.281345
532,74.455707
532,73.68477
533,78.560526
533,73.991683
533,73.519155
534,77.079784
534,72.819458
534,73.127697
535,75.960979
535,72.104897
535,72.638512
536,75.770561
536,73.024588
536,72.679994
537,75.682946
537,74.89705
537,73.235051
538,75.012798
538,76.265618
538,73.977113
539,74.471945
539,76.595662
539,74.895234
540,75.052248
540,76.065992
540,75.617847
541,76.334553
541,74.895521
541,75.396632
542,77.207019
542,73.512246
542,74.439106
543,77.413719
543,72.883212
543,74.038317
544,77.519592
544,73.688069
544,74.952428
545,77.942671
545,75.335867
545,76.264728
546,78.713891
546,76.790247
546,76.648534
547,79.772636
547,77.744829
547,76.058112
548,80.681741
548,78.359262
548,75.527909
549,80.715718
549,78.607245
549,75.498553
550,79.699502
550,78.407638
550,75.56497
551,78.396139
551,77.994133
551,75.471017
552,77.770308
552,77.691952
552,75.234774
553,77.77182
553,77.423794
553,74.78686
554,77.711432
554,77.053488
554,74.174143
555,77.451983
555,76.956092
555,73.921194
556,77.385241
556,77.538864
556,74.463008
557,77.462195
557,78.31697
557,75.454387
558,77.32136
558,78.415814
558,76.412645
559,77.169146
559,77.842243
559,77.288447
560,77.404781
560,77.637963
560,77.906307
561,77.623384
561,78.422317
561,77.75514
562,76.995846
562,79.64351
562,76.762006
563,75.463167
563,80.325589
563,75.666935
564,74.045604
564,79.928179
564,75.230442
565,73.630818
565,78.816854
565,75.219062
566,74.275333
566,77.796324
566,75.19006
567,75.677088
567,77.362062
567,75.37305
568,77.129152
568,77.281787
568,75.883
569,77.772311
569,76.97474
569,76.073756
570,77.450451
570,76.370716
570,75.483679
571,76.733032
571,75.914142
571,74.608971
572,76.156921
572,75.800756
572,74.128338
573,75.756253
573,75.694745
573,73.962466
574,75.481238
574,75.416762
574,73.802788
575,75.574287
575,75.24492
575,73.807101
576,76.178937
576,75.387932
576,74.203674
577,76.939805
577,75.6272
577,74.751667
578,77.400828
578,75.736745
578,75.130636
579,77.43899
579,75.831398
579,75.414499
580,77.145104
580,76.03706
580,75.758167
581,76.649745
581,76.208474
581,76.001557
582,76.185422
582,76.221607
582,75.972368
583,76.0602
583,76.24183
583,75.886306
584,76.342126
584,76.494711
584,76.086806
585,76.746114
585,76.956248
585,76.547814
586,77.009607
586,77.409079
586,76.929346
587,77.136753
587,77.633206
587,77.004685
588,77.158297
588,77.489221
588,76.824162
589,76.944492
589,77.001946
589,76.544891
590,76.458426
590,76.427389
590,76.287763
591,75.982647
591,76.113509
591,76.126949
592,75.852593
592,76.160658
592,76.045902
593,76.03658
593,76.310535
593,75.938475
594,76.22504
594,76.300121
594,75.768551
595,76.235564
595,76.151384
595,75.649341
596,76.122233
596,76.022866
596,75.676251
597,75.995777
597,75.954579
597,75.778373
598,75.91668
598,75.891994
598,75.835106
599,75.922527
599,75.843111
599,75.838411
600,75.996374
600,75.858349
600,75.843481
601,76.03124
601,75.913079
601,75.85011
602,75.949792
602,75.93211
602,75.835787
603,75.822478
603,75.895057
603,75.834479
604,75.769726
604,75.835403
604,75.877952
605,75.783719
605,75.774145
605,75.921031
606,75.757984
606,75.717731
606,75.9279
607,75.663408
607,75.679108
607,75.9588
608,75.582143
608,75.648754
608,76.061203
609,75.588859
609,75.601715
609,76.1537
610,75.703388
610,75.581702
610,76.141891
611,75.934049
611,75.699288
611,76.079174
612,76.261451
612,75.981718
612,76.095009
613,76.605677
613,76.299219
613,76.218847
614,76.891137
614,76.503917
614,76.391018
615,77.105037
615,76.56203
615,76.584648
616,77.23537
616,76.510999
616,76.781012
617,77.219335
617,76.38904
617,76.877218
618,77.044724
618,76.270537
618,76.777082
619,76.843337
619,76.264288
619,76.561
620,76.761527
620,76.376635
620,76.418434
621,76.774513
621,76.468313
621,76.417062
622,76.743645
622,76.435099
622,76.471048
623,76.621674
623,76.346852
623,76.517288
624,76.502039
624,76.336352
624,76.595809
625,76.48949
625,76.432647
625,76.753644
626,76.623544
626,76.601725
626,76.979704
627,76.901802
627,76.847609
627,77.242196
628,77.253508
628,77.135796
628,77.485192
629,77.512562
629,77.315212
629,77.60099
630,77.537781
630,77.266416
630,77.522961
631,77.365548
631,77.073396
631,77.354112
632,77.172835
632,76.936056
632,77.297724
633,77.087063
633,76.948372
633,77.423459
634,77.107025
634,77.071238
634,77.598925
635,77.19024
635,77.257376
635,77.673562
636,77.305926
636,77.461639
636,77.639912
637,77.406653
637,77.585111
637,77.585135
638,77.44398
638,77.549192
638,77.560518
639,77.423484
639,77.406565
639,77.558587
640,77.390348
640,77.28957
640,77.561075
641,77.369434
641,77.267154
641,77.56595
642,77.372459
642,77.33141
642,77.593804
643,77.430439
643,77.470584
643,77.674271
644,77.550073
644,77.650471
644,77.800481
645,77.677731
645,77.785714
645,77.911218
646,77.778223
646,77.836826
646,77.957133
647,77.905267
647,77.887823
647,77.962427
648,78.119076
648,78.03439
648,77.982239
649,78.372933
649,78.237397
649,78.019268
650,78.563279
650,78.384751
650,78.031592
651,78.645416
651,78.443005
651,78.010826
652,78.630449
652,78.455543
652,77.999327
653,78.527871
653,78.450095
653,78.03964
654,78.364622
654,78.434976
654,78.139287
655,78.215944
655,78.438878
655,78.261232
656,78.141173
656,78.470497
656,78.335367
657,78.117572
657,78.476236
657,78.321241
658,78.105762
658,78.413121
658,78.272816
659,78.130133
659,78.32475
659,78.293939
660,78.223193
660,78.287987
660,78.413451
661,78.343742
661,78.316854
661,78.554793
662,78.431636
662,78.378557
662,78.657388
663,78.489241
663,78.4493
663,78.743434
664,78.546108
664,78.499037
664,78.839149
665,78.593531
665,78.486392
665,78.911779
666,78.611408
666,78.424794
666,78.926053
667,78.635707
667,78.445806
667,78.914438
668,78.745553
668,78.719853
668,78.971396
669,78.869919
669,79.084046
669,79.057686
670,78.891848
670,79.22782
670,79.055698
671,78.85659
671,79.166012
671,78.968998
672,78.832822
672,79.027214
672,78.846097
673,78.855158
673,78.898938
673,78.753099
674,78.946134
674,78.858512
674,78.775523
675,79.106407
675,78.940594
675,78.942395
676,79.29047
676,79.079756
676,79.170707
677,79.430531
677,79.155432
677,79.339043
678,79.510952
678,79.134372
678,79.417795
679,79.567089
679,79.099244
679,79.465378
680,79.594215
680,79.112243
680,79.504799
681,79.531413
681,79.135122
681,79.488813
682,79.387802
682,79.13934
682,79.416032
